NO,Temp,Time
327,16,88,11/02/2013 9:31:47
328,16,88,11/02/2013 9:31:49
329,16,88,11/02/2013 9:31:51
330,16,88,11/02/2013 9:31:53
331,16,88,11/02/2013 9:31:55
332,16,88,11/02/2013 9:31:57
333,16,88,11/02/2013 9:31:59
334,16,88,11/02/2013 9:32:01
335,16,88,11/02/2013 9:32:03
336,16,88,11/02/2013 9:32:05
337,16,88,11/02/2013 9:32:07
338,16,88,11/02/2013 9:32:09
339,16,88,11/02/2013 9:32:11
340,16,88,11/02/2013 9:32:13
341,16,88,11/02/2013 9:32:15
342,16,88,11/02/2013 9:32:17
343,16,88,11/02/2013 9:32:19
344,16,88,11/02/2013 9:32:21
345,16,88,11/02/2013 9:32:23
346,16,88,11/02/2013 9:32:25
347,16,88,11/02/2013 9:32:27
348,16,88,11/02/2013 9:32:29
349,16,88,11/02/2013 9:32:31
350,16,88,11/02/2013 9:32:33
351,16,88,11/02/2013 9:32:35
352,16,88,11/02/2013 9:32:37
353,16,88,11/02/2013 9:32:39
354,16,88,11/02/2013 9:32:41
355,16,88,11/02/2013 9:32:43
356,16,88,11/02/2013 9:32:45
357,16,88,11/02/2013 9:32:47
358,16,88,11/02/2013 9:32:49
359,16,88,11/02/2013 9:32:51
360,16,88,11/02/2013 9:32:53
361,16,88,11/02/2013 9:32:55
362,16,88,11/02/2013 9:32:57
363,16,88,11/02/2013 9:32:59
364,16,88,11/02/2013 9:33:01
365,16,88,11/02/2013 9:33:03
366,16,88,11/02/2013 9:33:05
367,16,88,11/02/2013 9:33:07
368,16,88,11/02/2013 9:33:09
369,16,88,11/02/2013 9:33:11
370,16,88,11/02/2013 9:33:13
371,16,88,11/02/2013 9:33:15
372,16,88,11/02/2013 9:33:17
373,16,88,11/02/2013 9:33:19
374,16,88,11/02/2013 9:33:21
375,16,88,11/02/2013 9:33:23
376,16,88,11/02/2013 9:33:25
377,16,88,11/02/2013 9:33:27
378,16,88,11/02/2013 9:33:29
379,16,88,11/02/2013 9:33:31
380,16,88,11/02/2013 9:33:33
381,16,88,11/02/2013 9:33:35
382,16,88,11/02/2013 9:33:37
383,16,88,11/02/2013 9:33:39
384,16,88,11/02/2013 9:33:41
385,16,88,11/02/2013 9:33:43
386,16,88,11/02/2013 9:33:45
387,16,88,11/02/2013 9:33:47
388,16,88,11/02/2013 9:33:49
389,16,88,11/02/2013 9:33:51
390,16,88,11/02/2013 9:33:53
391,16,88,11/02/2013 9:33:55
392,16,88,11/02/2013 9:33:57
393,16,88,11/02/2013 9:33:59
394,16,88,11/02/2013 9:34:01
395,16,88,11/02/2013 9:34:03
396,16,88,11/02/2013 9:34:05
397,16,88,11/02/2013 9:34:07
398,16,88,11/02/2013 9:34:09
399,16,88,11/02/2013 9:34:11
400,16,88,11/02/2013 9:34:13
401,16,88,11/02/2013 9:34:15
402,16,88,11/02/2013 9:34:17
403,16,88,11/02/2013 9:34:19
404,17,00,11/02/2013 9:34:21
405,17,00,11/02/2013 9:34:23
406,17,00,11/02/2013 9:34:25
407,17,00,11/02/2013 9:34:27
408,17,00,11/02/2013 9:34:29
409,17,00,11/02/2013 9:34:32
410,17,00,11/02/2013 9:34:34
411,17,00,11/02/2013 9:34:36
412,17,00,11/02/2013 9:34:38
413,17,00,11/02/2013 9:34:40
414,17,00,11/02/2013 9:34:42
415,17,00,11/02/2013 9:34:44
416,17,00,11/02/2013 9:34:46
417,17,00,11/02/2013 9:34:48
418,17,00,11/02/2013 9:34:50
419,17,00,11/02/2013 9:34:52
420,17,00,11/02/2013 9:34:54
421,17,00,11/02/2013 9:34:56
422,17,00,11/02/2013 9:34:58
423,17,00,11/02/2013 9:35:00
424,17,00,11/02/2013 9:35:02
425,17,00,11/02/2013 9:35:04
426,17,00,11/02/2013 9:35:06
427,17,00,11/02/2013 9:35:08
428,17,00,11/02/2013 9:35:10
429,17,00,11/02/2013 9:35:12
430,17,00,11/02/2013 9:35:14
431,17,00,11/02/2013 9:35:16
432,17,00,11/02/2013 9:35:18
433,17,00,11/02/2013 9:35:20
434,17,00,11/02/2013 9:35:22
435,17,00,11/02/2013 9:35:24
436,17,00,11/02/2013 9:35:26
437,17,00,11/02/2013 9:35:28
438,17,00,11/02/2013 9:35:30
439,17,00,11/02/2013 9:35:32
440,17,00,11/02/2013 9:35:34
441,17,00,11/02/2013 9:35:36
442,17,00,11/02/2013 9:35:38
443,17,00,11/02/2013 9:35:40
444,17,00,11/02/2013 9:35:42
445,17,00,11/02/2013 9:35:44
446,17,00,11/02/2013 9:35:46
447,17,00,11/02/2013 9:35:48
448,17,00,11/02/2013 9:35:50
449,17,00,11/02/2013 9:35:52
450,17,00,11/02/2013 9:35:54
451,17,00,11/02/2013 9:35:56
452,17,00,11/02/2013 9:35:58
453,17,00,11/02/2013 9:36:00
454,17,00,11/02/2013 9:36:02
455,17,00,11/02/2013 9:36:04
456,17,00,11/02/2013 9:36:06
457,17,00,11/02/2013 9:36:08
458,17,13,11/02/2013 9:36:10
459,17,00,11/02/2013 9:36:12
460,17,00,11/02/2013 9:36:14
461,17,13,11/02/2013 9:36:16
462,17,13,11/02/2013 9:36:18
463,17,13,11/02/2013 9:36:20
464,17,13,11/02/2013 9:36:22
465,17,13,11/02/2013 9:36:24
466,17,13,11/02/2013 9:36:26
467,17,13,11/02/2013 9:36:28
468,17,13,11/02/2013 9:36:30
469,17,13,11/02/2013 9:36:32
470,17,13,11/02/2013 9:36:34
471,17,13,11/02/2013 9:36:36
472,17,13,11/02/2013 9:36:38
473,17,13,11/02/2013 9:36:40
474,17,13,11/02/2013 9:36:42
475,17,13,11/02/2013 9:36:44
476,17,13,11/02/2013 9:36:46
477,17,13,11/02/2013 9:36:48
478,17,13,11/02/2013 9:36:50
479,17,13,11/02/2013 9:36:52
480,17,13,11/02/2013 9:36:54
481,17,13,11/02/2013 9:36:56
482,17,13,11/02/2013 9:36:58
483,17,13,11/02/2013 9:37:00
484,17,13,11/02/2013 9:37:02
485,17,13,11/02/2013 9:37:04
486,17,13,11/02/2013 9:37:06
487,17,13,11/02/2013 9:37:08
488,17,13,11/02/2013 9:37:10
489,17,13,11/02/2013 9:37:12
490,17,13,11/02/2013 9:37:14
491,17,13,11/02/2013 9:37:16
492,17,13,11/02/2013 9:37:18
493,17,13,11/02/2013 9:37:20
494,17,13,11/02/2013 9:37:22
495,17,13,11/02/2013 9:37:24
496,17,13,11/02/2013 9:37:27
497,17,13,11/02/2013 9:37:29
498,17,13,11/02/2013 9:37:31
499,17,13,11/02/2013 9:37:33
500,17,13,11/02/2013 9:37:35
501,17,13,11/02/2013 9:37:37
502,17,13,11/02/2013 9:37:39
503,17,13,11/02/2013 9:37:41
504,17,13,11/02/2013 9:37:43
505,17,13,11/02/2013 9:37:45
506,17,13,11/02/2013 9:37:47
507,17,13,11/02/2013 9:37:49
508,17,13,11/02/2013 9:37:51
509,17,13,11/02/2013 9:37:53
510,17,13,11/02/2013 9:37:55
511,17,13,11/02/2013 9:37:57
512,17,25,11/02/2013 9:37:59
513,17,25,11/02/2013 9:38:01
514,17,25,11/02/2013 9:38:03
515,17,25,11/02/2013 9:38:05
516,17,25,11/02/2013 9:38:07
517,17,25,11/02/2013 9:38:09
518,17,25,11/02/2013 9:38:11
519,17,25,11/02/2013 9:38:13
520,17,25,11/02/2013 9:38:15
521,17,25,11/02/2013 9:38:17
522,17,25,11/02/2013 9:38:19
523,17,25,11/02/2013 9:38:21
524,17,25,11/02/2013 9:38:23
525,17,25,11/02/2013 9:38:25
526,17,25,11/02/2013 9:38:27
527,17,25,11/02/2013 9:38:29
528,17,25,11/02/2013 9:38:31
529,17,25,11/02/2013 9:38:33
530,17,25,11/02/2013 9:38:35
531,17,25,11/02/2013 9:38:37
532,17,25,11/02/2013 9:38:39
533,17,25,11/02/2013 9:38:41
534,17,25,11/02/2013 9:38:43
535,17,25,11/02/2013 9:38:45
536,17,25,11/02/2013 9:38:47
537,17,25,11/02/2013 9:38:49
538,17,25,11/02/2013 9:38:51
539,17,25,11/02/2013 9:38:53
540,17,25,11/02/2013 9:38:55
541,17,25,11/02/2013 9:38:57
542,17,25,11/02/2013 9:38:59
543,17,25,11/02/2013 9:39:01
544,17,25,11/02/2013 9:39:03
545,17,25,11/02/2013 9:39:05
546,17,25,11/02/2013 9:39:07
547,17,25,11/02/2013 9:39:09
548,17,25,11/02/2013 9:39:11
549,17,25,11/02/2013 9:39:13
550,17,25,11/02/2013 9:39:15
551,17,25,11/02/2013 9:39:17
552,17,25,11/02/2013 9:39:19
553,17,25,11/02/2013 9:39:21
554,17,25,11/02/2013 9:39:23
555,17,25,11/02/2013 9:39:25
556,17,25,11/02/2013 9:39:27
557,17,25,11/02/2013 9:39:29
558,17,25,11/02/2013 9:39:31
559,17,25,11/02/2013 9:39:33
560,17,25,11/02/2013 9:39:35
561,17,25,11/02/2013 9:39:37
562,17,25,11/02/2013 9:39:39
563,17,25,11/02/2013 9:39:41
564,17,25,11/02/2013 9:39:43
565,17,25,11/02/2013 9:39:45
566,17,25,11/02/2013 9:39:47
567,17,25,11/02/2013 9:39:49
568,17,25,11/02/2013 9:39:51
569,17,25,11/02/2013 9:39:53
570,17,25,11/02/2013 9:39:55
571,17,38,11/02/2013 9:39:57
572,17,25,11/02/2013 9:39:59
573,17,25,11/02/2013 9:40:01
574,17,38,11/02/2013 9:40:03
575,17,38,11/02/2013 9:40:05
576,17,25,11/02/2013 9:40:07
577,17,25,11/02/2013 9:40:09
578,17,25,11/02/2013 9:40:11
579,17,38,11/02/2013 9:40:13
580,17,25,11/02/2013 9:40:15
581,17,38,11/02/2013 9:40:17
582,17,38,11/02/2013 9:40:20
583,17,38,11/02/2013 9:40:22
584,17,38,11/02/2013 9:40:24
585,17,38,11/02/2013 9:40:26
586,17,38,11/02/2013 9:40:28
587,17,38,11/02/2013 9:40:30
588,17,38,11/02/2013 9:40:32
589,17,38,11/02/2013 9:40:34
590,17,38,11/02/2013 9:40:36
591,17,38,11/02/2013 9:40:38
592,17,38,11/02/2013 9:40:40
593,17,38,11/02/2013 9:40:42
594,17,38,11/02/2013 9:40:44
595,17,38,11/02/2013 9:40:46
596,17,38,11/02/2013 9:40:48
597,17,38,11/02/2013 9:40:50
598,17,38,11/02/2013 9:40:52
599,17,38,11/02/2013 9:40:54
600,17,38,11/02/2013 9:40:56
601,17,38,11/02/2013 9:40:58
602,17,38,11/02/2013 9:41:00
603,17,38,11/02/2013 9:41:02
604,17,38,11/02/2013 9:41:04
605,17,38,11/02/2013 9:41:06
606,17,38,11/02/2013 9:41:08
607,17,38,11/02/2013 9:41:10
608,17,38,11/02/2013 9:41:12
609,17,38,11/02/2013 9:41:14
610,17,38,11/02/2013 9:41:16
611,17,38,11/02/2013 9:41:18
612,17,38,11/02/2013 9:41:20
613,17,38,11/02/2013 9:41:22
614,17,38,11/02/2013 9:41:24
615,17,38,11/02/2013 9:41:26
616,17,38,11/02/2013 9:41:28
617,17,38,11/02/2013 9:41:30
618,17,38,11/02/2013 9:41:32
619,17,38,11/02/2013 9:41:34
620,17,38,11/02/2013 9:41:36
621,17,38,11/02/2013 9:41:38
622,17,38,11/02/2013 9:41:40
623,17,38,11/02/2013 9:41:42
624,17,38,11/02/2013 9:41:44
625,17,38,11/02/2013 9:41:46
626,17,38,11/02/2013 9:41:48
627,17,38,11/02/2013 9:41:50
628,17,38,11/02/2013 9:41:52
629,17,38,11/02/2013 9:41:54
630,17,38,11/02/2013 9:41:56
631,17,38,11/02/2013 9:41:58
632,17,38,11/02/2013 9:42:00
633,17,38,11/02/2013 9:42:02
634,17,38,11/02/2013 9:42:04
635,17,38,11/02/2013 9:42:06
636,17,38,11/02/2013 9:42:08
637,17,38,11/02/2013 9:42:10
638,17,38,11/02/2013 9:42:12
639,17,38,11/02/2013 9:42:14
640,17,38,11/02/2013 9:42:16
641,17,38,11/02/2013 9:42:18
642,17,38,11/02/2013 9:42:20
643,17,38,11/02/2013 9:42:22
644,17,38,11/02/2013 9:42:24
645,17,38,11/02/2013 9:42:26
646,17,38,11/02/2013 9:42:28
647,17,38,11/02/2013 9:42:30
648,17,38,11/02/2013 9:42:32
649,17,38,11/02/2013 9:42:34
650,17,38,11/02/2013 9:42:36
651,17,38,11/02/2013 9:42:38
652,17,38,11/02/2013 9:42:40
653,17,38,11/02/2013 9:42:42
654,17,38,11/02/2013 9:42:44
655,17,38,11/02/2013 9:42:46
656,17,38,11/02/2013 9:42:48
657,17,38,11/02/2013 9:42:50
658,17,38,11/02/2013 9:42:52
659,17,38,11/02/2013 9:42:54
660,17,50,11/02/2013 9:42:56
661,17,38,11/02/2013 9:42:58
662,17,50,11/02/2013 9:43:00
663,17,38,11/02/2013 9:43:02
664,17,50,11/02/2013 9:43:04
665,17,50,11/02/2013 9:43:06
666,17,50,11/02/2013 9:43:09
667,17,50,11/02/2013 9:43:11
668,17,50,11/02/2013 9:43:13
669,17,50,11/02/2013 9:43:15
670,17,38,11/02/2013 9:43:17
671,17,50,11/02/2013 9:43:19
672,17,50,11/02/2013 9:43:21
673,17,50,11/02/2013 9:43:23
674,17,50,11/02/2013 9:43:25
675,17,50,11/02/2013 9:43:27
676,17,50,11/02/2013 9:43:29
677,17,50,11/02/2013 9:43:31
678,17,50,11/02/2013 9:43:33
679,17,50,11/02/2013 9:43:35
680,17,50,11/02/2013 9:43:37
681,17,50,11/02/2013 9:43:39
682,17,50,11/02/2013 9:43:41
683,17,50,11/02/2013 9:43:43
684,17,50,11/02/2013 9:43:45
685,17,50,11/02/2013 9:43:47
686,17,50,11/02/2013 9:43:49
687,17,50,11/02/2013 9:43:51
688,17,50,11/02/2013 9:43:53
689,17,50,11/02/2013 9:43:55
690,17,50,11/02/2013 9:43:57
691,17,50,11/02/2013 9:43:59
692,17,50,11/02/2013 9:44:01
693,17,50,11/02/2013 9:44:03
694,17,50,11/02/2013 9:44:05
695,17,50,11/02/2013 9:44:07
696,17,50,11/02/2013 9:44:09
697,17,50,11/02/2013 9:44:11
698,17,50,11/02/2013 9:44:13
699,17,50,11/02/2013 9:44:15
700,17,50,11/02/2013 9:44:17
701,17,50,11/02/2013 9:44:19
702,17,50,11/02/2013 9:44:21
703,17,50,11/02/2013 9:44:23
704,17,50,11/02/2013 9:44:25
705,17,50,11/02/2013 9:44:27
706,17,50,11/02/2013 9:44:29
707,17,50,11/02/2013 9:44:31
708,17,50,11/02/2013 9:44:33
709,17,50,11/02/2013 9:44:35
710,17,50,11/02/2013 9:44:37
711,17,50,11/02/2013 9:44:39
712,17,50,11/02/2013 9:44:41
713,17,50,11/02/2013 9:44:43
714,17,50,11/02/2013 9:44:45
715,17,50,11/02/2013 9:44:47
716,17,50,11/02/2013 9:44:49
717,17,50,11/02/2013 9:44:51
718,17,50,11/02/2013 9:44:53
719,17,50,11/02/2013 9:44:55
720,17,50,11/02/2013 9:44:57
721,17,50,11/02/2013 9:44:59
722,17,50,11/02/2013 9:45:01
723,17,50,11/02/2013 9:45:03
724,17,50,11/02/2013 9:45:05
